Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets,16,3840,40.3,84.9,.475,8.7,22.8,.383,31.6,62.1,.509,27.5,36.2,.759,11.6,32.0,43.6,24.5,9.9,5.6,13.1,27.9,116.8
2,Dallas Mavericks,10,2400,39.6,84.2,.470,8.1,22.9,.354,31.5,61.3,.514,25.7,31.6,.813,10.2,35.0,45.3,20.1,7.2,4.2,14.5,25.4,113.0
3,Cleveland Cavaliers,14,3385,40.1,86.7,.463,7.7,22.8,.336,32.5,63.9,.508,24.6,33.2,.742,11.6,34.9,46.5,22.1,7.7,5.3,14.3,23.7,112.6
4,Los Angeles Lakers,23,5570,40.7,87.6,.465,7.6,20.1,.377,33.2,67.5,.491,22.4,29.9,.747,12.1,33.6,45.7,21.1,8.6,6.8,14.2,25.5,111.4
5,Orlando Magic,24,5835,38.2,83.5,.457,9.3,25.8,.360,28.9,57.7,.501,21.7,30.0,.722,9.2,33.3,42.5,20.9,7.5,5.3,14.6,23.7,107.3
6,Miami Heat,7,1680,37.9,84.2,.450,8.6,24.2,.357,29.2,60.0,.487,22.3,27.3,.816,10.7,36.1,46.8,18.2,7.4,6.9,16.2,26.8,106.7
7,Boston Celtics,14,3535,38.9,87.5,.445,7.0,19.4,.360,32.0,68.1,.469,21.4,27.0,.791,11.3,33.7,45.0,23.9,8.1,5.1,14.2,25.3,106.3
8,Chicago Bulls,7,1855,37.6,85.2,.441,7.1,18.9,.378,30.5,66.4,.459,23.6,29.2,.809,10.2,34.4,44.6,19.4,6.6,8.0,15.8,24.0,105.9
9,San Antonio Spurs,5,1200,40.8,89.3,.457,6.8,20.5,.330,34.1,68.8,.495,17.0,24.0,.709,10.3,33.6,43.9,18.7,6.5,3.5,12.8,25.7,105.4
10,Houston Rockets,13,3120,38.9,87.1,.447,7.6,23.1,.328,31.3,64.0,.490,19.3,25.1,.768,11.1,35.3,46.4,19.5,7.0,3.6,16.3,23.0,104.7
11,Utah Jazz,5,1200,37.5,86.7,.432,5.4,15.6,.342,32.1,71.1,.452,24.0,32.3,.742,14.1,31.5,45.6,27.2,10.5,3.6,15.6,25.5,104.2
12,Portland Trail Blazers,6,1440,39.7,88.8,.447,6.6,16.9,.388,33.2,71.9,.461,17.9,23.4,.763,11.7,31.6,43.3,17.5,7.2,8.9,13.5,25.8,103.9
13,Atlanta Hawks,11,2640,36.5,89.4,.409,7.4,21.3,.347,29.1,68.1,.428,21.5,28.9,.744,13.0,29.4,42.4,20.5,8.4,4.1,14.7,25.9,102.0
14,Philadelphia 76ers,6,1440,38.6,85.2,.453,6.6,18.0,.368,32.0,67.2,.476,16.7,23.5,.710,9.1,32.8,41.8,20.3,7.0,3.4,16.7,26.1,100.5
15,New Orleans Hornets,5,1200,31.0,78.2,.396,6.7,20.5,.326,24.3,57.7,.421,25.2,31.2,.807,10.2,31.0,41.2,17.6,7.3,2.9,20.5,27.6,93.7
16,Detroit Pistons,4,960,37.8,92.4,.409,3.6,14.7,.245,34.2,77.7,.440,14.4,17.4,.828,9.0,31.2,40.2,19.8,5.1,3.6,13.5,28.5,93.6